"","ï..date","state","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"204","30-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"205","31-Jan","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"206","1-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"207","2-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"208","3-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"209","4-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"210","5-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"211","6-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"212","7-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"213","8-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"214","9-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
"215","10-Feb","Arkansas","0","0",999,"0","0","0","0","1,598,536","722,684","356,880","722,680","9,517","3.16","12","142"
